nome,cidade_e_estado,contribuicoes,nota,titulo,em_companhia_de,review,imagens,nota_custo,nota_atendimento,nota_comida,nota_ambiente,is_parceria_patrocinada,data_postagem,title_len,review_len,day_of_month,is_weekday,day_of_week,month,year,pca_1,pca_2
Renata P,"São Paulo, SP",382,4,"Achei bom, mas minha carne estava dura",Amigos,"Esperava um pouco mais da carne
									A minha veio dura e achei muito apimentada … a entrada estava muito boa e sobremesa tb estava",1,,,,,False,2022-12-03,38,134,3,False,saturday,december,2022,-52.986595,-310.90363
Raphael D.,"Juiz de Fora, MG",32,3,"Lindo o local, mas pouco acolhedor",Casal,"Local lindo! Atendimento não condizente com a proposta - ainda pouco acolhedores e o próprio perfil dos atendentes não combina. Comida cara, tempero e presença moderada e pouco servida. Sem comparação com La Tambouille.",0,,,,,False,2022-11-05,34,219,5,False,saturday,november,2022,-394.4729,-196.43053
Kelly P,"São Paulo, SP",84,5,Comer também com os olhos,Solo,"Fui para o almoço menu executivo. Uma delícia, tartar de salmão leve, perfumado, uma delícia. Prato principal fui de panceta, muito bem cozida, macia e temperada, acompanhado de risoto de limão siciliano. Sobremesa mil folhas, o creme levemente azedinho, perfeito. Atendimento nota 10, garçons, maitre e do Geraldo, uma figura muito simpática. Ainda pedi para conhecer o bar que estava fechado uma vez que era horário de almoço, mas ainda assim me levaram até lá. Ainda pude conhecer todos os espaços do restaurante. A decoração é uma atração a parte: fantástica. Eu amei tudo! E ainda tomei o melhor Bellini do mundo. Vou voltar com toda certeza.",6,,,,,True,2022-10-24,25,647,24,True,monday,october,2022,-306.18845,225.40843
Thiago B,"Uberlândia, MG",36,5,Excelente,Família,"Atendimento excelente, lugar lindo e comida deliciosa. Recomendo a visita, nós fomos na hora do almoço e escolhemos o menu executivo. Foi maravilhoso!!!!!",0,,,,,False,2022-10-13,9,154,13,True,thursday,october,2022,-396.04446,-261.80295
Samir M,"Marabá, PA",43,2,Experiência frustrante,,"Fiz uma reserva e quando cheguei o restaurante ainda estava um pouco vazio, fui bem recepcionado até aquele momento. Pedi sugestão mas o garçom falou ""você que escolhe..."" acabei escolhendo meu prato e o garçom me ofereceu um couvert e eu aceitei e também pedi um drink, tudo estava muito bom e saboroso até aquele momento, um dos garçons retirou o prato e foi embora sem me oferecer se quer uma sobremesa ou um café, nesse momento o salão já estava cheio e já era tarde, então resolvi pedir a conta, pedi para 3 garçons diferentes e nenhum me levou então avistei o maitre e pedi a conta e logo ele me entregou paguei e me levantei, quando me levantei ele perguntou o que eu achei e falei que não gostei pois o atendimento deixava a desejar. Quando já estava na rua o maitre foi atrás de mim para saber o que tinha acontecido eu expliquei que o atendimento estava totalmente confuso eu fui atendido por diversos garçons diferentes e sempre que eu chamava depois que a casa ficou cheia eles não vinham e eu ficava falando sozinho praticamente, pelo padrão que eles querem empregar achei bem fraco o serviço, muito status e pouca organização.",0,3.0,1.0,4.0,,False,2022-09-29,22,1140,29,True,thursday,september,2022,-305.03946,720.0387
Miriam S,"São Paulo, SP",214,5,Excelente em todos os aspectos,Família,"Para mim, o melhor restaurante do Jacquin. A comida é deliciosa tanto no almoço quanto no jantar o que demonstra que a equipe da cozinha é muito bem preparada. Fomos atendidos este final de semana pelo garçom Jairo, educado e super eficiente. Demais funcionários todos muito bons. Como dito em outros comentários não é barato mas o preço está à altura do que oferece. Pratos entre 100,00 e 250,00 reais.",0,,,,,True,2022-09-04,30,403,4,False,sunday,september,2022,-197.45422,-28.666931
Cinthia Santos,"Ipatinga, MG",9,5,EXPERIÊNCIA INCRÍVEL,Casal,"Restaurante LIINDOOO, decoração INCRÍVEL, equipe atenciosa e educada!!
									Experiência gastronômica indescritível e incomparável Erick Jacquin o mago da cozinha o melhor sem dúvidas !
									Um dos melhores restaurantes que já visitei!!
									TRAAAAZ TODOS OS PRÊMIOS DE GASTRONOMIA PRA ESSE HOMEEEM!!!",0,,,,,False,2022-08-20,20,312,20,False,saturday,august,2022,-409.47858,-102.004005
Cintia_Emi,"Resende, RJ",596,5,Restaurante vip com preço top!!,Família,"Quarto restaurante do Jacquin que conheci. Lvtetia tem uma decoração incrível. Pecou pela localização do banheiro, que não fica em área plana... É preciso pegar uma rampa.
									Preparem o bolso: pratos na faixa entre 104 a 200 reais. Com couvert, prato principal e sobremesa, gasta-se um mínimo 400 reais. Os pratos são requintados servidos com cloche. Contudo tive uma surpresa ao receber meu prato principal: a expectativa era receber o salmao juntamente com a massa. Porém, qdo o garçom tirou o cloche havia apenas a posta do salmão. Na hora fiquei frustrada , mas  a massa foi servida em outro prato. Voltarei para saborear outros pratos.",4,,,,,False,2022-08-14,31,646,14,False,sunday,august,2022,203.8667,180.85316
Cid,"São Paulo, SP",872,4,Não é para todos!,Amigos,"Duas coisas me incomodaram no Lvtetia, nenhuma delas relacionada à qualidade da gastronomia. 1a) fui informado pelos funcionários que os toilettes ficam no subsolo onde há um bar, com DJ de 5a a Sábado, o que dificulta o acesso dos clientes com dificuldade de locomoção, como os idosos (no nosso caso havia uma senhora com 92 anos, uma com quase 80. Estávamos em 5 amigos). 2) do bar sai um cheiro muito intenso de cigarro que para pessoas como eu que tenho rinite, incomoda muito e o cheiro sobe para o restaurante; se isso também é um problema para você, reserve uma mesa mais para o fundo do salão, onde sentamos. Mas o objetivo era conhecer o restaurante do Chefe Jackin e saímos muito contentes com a qualidade de tudo: couvert, pratos principais, sobremesas, petit fours do café, drinks e espumante. Além da gentileza e cortesia dos funcionários, sendo que quero destacar o atendimento da Hostess Deise e do garçom Gilson. Preços salgados? Sim, mas credito à desvalorização da moeda brasileira, o Real, pois se convertemos para o Dólar Americano, percebe-se que desfrutamos de alta qualidade gastronômica por uma pechincha. O ambiente é bonito, confortável mas não fomos unânimes em relação à nota dada ao local. Volto, mas prefiro conhecer novos locais antes.",1,,,,,False,2022-08-11,17,1266,11,True,thursday,august,2022,531.69446,774.91693
Daniel G.,"Niterói, RJ",452,5,Aconchegante e saboroso,,"A visita ao restaurante foi muito boa. Chegamos cedo para nossa reserva, e nos sentimos acolhidos desde nossa chegada ao local. Antes de escolhermos os pratos, o garçom nos perguntou se queríamos levantar e conhecer o restaurante ( o que foi uma excelente experiência ). O local é extremamente bonito e a comida é extremamente boa. Um ponto que é bom saber antes de ir ao restaurante é que a porção do prato principal não é generosa, então é recomendável pedir a entrada pelo menos. Porém, os pratos que escolhemos foram um degrau acima do que seria considerado de excelente qualidade e isso faz com que este seja um restaurante a se guardar na memória.",2,4.0,5.0,5.0,,False,2022-08-03,23,653,3,True,wednesday,august,2022,60.984364,200.05473
Lucilene M,"Montes Claros, MG",463,5,Ambiente incrível!!!,Família,"Pratos bem elaborados e deliciosos. O ambiente é bem decorado. No sub solo tem um bar Vaticano incrível. Como tudo em São Paulo, o preço é meio “salgado “ . Mas super vale a pena cada real gasto.",0,,,,,False,2022-07-30,20,195,30,False,saturday,july,2022,32.89067,-257.29782
Fabiano,"Itabira, MG",2986,5,Lugar lindo com atendimento excelente e gastronomia incrível!,Casal,"Comemorando aniversário de casamento, viemos almoçar. A decoração é linda com peças clássicas e toque moderno. Serviço rápido e eficiente. Cardápio e carta de vinhos com boa variedade, preço elevado. Entradas: vieiras com espuma de limão siciliano, simplesmente sublime; escargot com mini risoto, delicioso. Principal foi risoto de vitela, muito bom. O café vem com mini macarons, bem gostosos. De sobremesa, um sorvete de macadâmia muito saboroso. Uma experiência inesquecível! Só me incomoda essa tendência de usar o mesmo modelo de taça para espumantes e vinhos, certamente não dá match.",7,,,,,False,2022-06-15,61,590,15,True,wednesday,june,2022,2580.4148,-78.350975
RodrigoPaiva,"Montes Claros, MG",1396,5,Excelente,,Jóia do Erick Jacquin. Decoração chique. Pessoal bonito. Gostei muito da lasanha.  Vinhos com preços ok. Sobremesa de pistache uma delícia.,0,3.0,5.0,5.0,,False,2022-06-12,9,139,12,False,sunday,june,2022,957.7221,-392.67447
Marcelo Z,,1,1,Serviço trapalhão,,"Frequentadores de outros restaurantes do Jacquin, fomos conhecer o Lvtetia. Levei meu vinho e quando chegamos pedi para abri-lo. Os garçons levaram meu vinho e passado mais de dez minutos, sem nada acontecer, voltei a pedir para que meu vinho fosse servido. Foi uma cena surreal, da nossa mesa tínhamos a visão da adega e o metre com a carta na mão, ficava procurando vinhos nas prateleiras. Passou-se quase meia hora e eu continuava a pedir pelo meu vinho e nada. Finalmente voltaram com um decanter cheio e a garrafa que trouxe vazia. Fiquei possesso. Como posso saber se o vinho do decanter foi o vinho que levei? Qualquer tratoria sabe que o vinho tem que ser aberto na presença do cliente. O garçom alegou que meu vinho era antigo( mentira , já que era um gran reserva 2012) e que teve que tirar a rolha com pinça( também mentira, já que a rolha estava perfeita). Reclamei com o metre que ficou com cara de pastel e não  fez nada e não consegui descobrir o que fizeram com meu vinho! Mesmo assim a rolha foi cobrada. Apesar da comida estar muita boa, tendo um serviço tão medíocre ,não é um lugar para voltar!",0,2.0,1.0,4.0,,True,2022-04-16,17,1114,16,False,saturday,april,2022,-349.0971,697.6977
Rodrigo,"São Paulo, SP",2926,5,Mais uma jóia do Jacquin!,Família,"Recém inaugurado em Dez/2021, este restaurante é mais uma jóia do Erick Jacquin.
									Logo ao chegar nos deparamos com uma entrada imponente e em seu interior uma decoração chique e maravilhosa.
									Resolvemos jantar frutos do mar esta noite, então escolhemos um rosé italiano para harmonizar.
									De entrada, vieiras. Estavam maravilhosas.
									De principal, fomos de Filé de Pargo Grelhado e Camarão à Moda Mediterrânea.
									O pargo estava levemente sem sal, talvez eu tenha sentido isso por ter trocado o acompanhamento, que era risoto de limão siciliano por legumes, em função de dieta.
									Já o camarão estava muito bom!
									De sobremesa fomos de Panacotta Explosão de Manga, que nos chamou a atenção no Instagram do restaurante.
									Um verdadeiro “Manjar dos Deuses”!!!
									Pensei em dar nota 4 por causa do pargo, mas depois da sobremesa resolvi dar nota máxima para este restaurante!
									Espetacular! Tudo ótimo, com uma pequena, muito pequena, ressalva ao pargo.
									Terminamos o jantar com um ótimo café acompanhado de macarrones.
									Noite esplêndida!
									Voltaremos!
									E recomendamos!",10,,,,,False,2022-04-04,25,1166,4,True,monday,april,2022,2569.7183,500.3121
Marilia B,"São Paulo, SP",2,4,Lugar lindo,Amigos,"Fomos jantar em 6 casais! Ficamos encantados, todos gostaram dos pratos, foi pedido de tudo na mesa! Para fazer a reserva o restaurante pedia o depósito antecipado de 100 reais por pessoa e depois descontam da conta. Terminando o jantar descemos para um show ao vivo, amamos!!",0,,,,,True,2022-02-28,11,276,28,True,monday,february,2022,-419.5284,-137.38539
Clau,"São Paulo, SP",108,5,Excelente experiência,Casal,"Restaurante impecável, comida excelente, preços condizentes com a qualidade que  oferece. Atenção excepcional, voltaria 1000 vezes!!!",1,,,,,False,2022-02-26,21,133,26,False,saturday,february,2022,-326.09552,-288.79657
rocmartins7,"Belo Horizonte, MG",1217,4,Italiano com toque francês,Amigos,"Lvtetia é o nome que os romanos davam à Paris. Esse é o novo restaurante de Erick Jacquin, italiano com o toque francês! Decoração retrô com toques de modernidade.",6,,,,,False,2022-01-17,26,163,17,True,monday,january,2022,781.4418,-353.34842
Patynarchi,,50,4,Italiano francês,Família,"Gostamos muito do restaurante, ponto alto para a decoração. Um mix de cores e estilos. Fui comemorar meu aniversário com minha família. Tivemos um contratempo com o garçom esquecendo de anotar o prato de meu Marido, mesmo ele perguntando pro garçom se ele checou se havia tomado nota de todos, pois estávamos em 12 pessoas. Conclusão : chegou o prato de todos, menos de meu marido… os pratos permaneceram cobertos por 15 min, no aguardo deles prepararem as pressas o prato que faltava. Assisto aos programas do Jacquin e vejo o quanto ele cobra que todos os pratos cheguem juntos à mesa, mas pelo jeito,no próprio restaurante isso também acontece. Meu prato deu uma leve esfriada e endureceu um pouco a pasta.. ou seja, minha primeira experiência lá não foi nota 10, muito chato o que rolou, mas quem sabe na próxima teremos mais sorte.",1,,,,,False,2025-06-13,16,836,13,True,friday,june,2025,-323.9642,416.546
Leonara O,"Itapetinga, BA",21,5,LVTETIA RESTAURANTE DO JACQUIN QUE SURPREENDE POSITIVAMENTE,Amigos,"Comida perfeita e preço justo. Fui a este restaurante do Jacquin com certa resistência, pois tive uma experiência horrível no Les Présidents e no Steak Bife. Contudo o LVtetia, me ganhou, com uma comida simples mas saborosa e com uma harmonização que aguça o paladar. Vale a pena ir ao LVtetia, pois tem comida boa, preço justo e Evandro que é um garçom bem humorada e atencioso.",6,,,,,False,2025-04-14,59,379,14,True,monday,april,2025,-391.7754,-35.877228
Adriana H,"Porto Alegre, RS",229,5,Imperdível,Família,"Restaurante italiano do chef Erik Jacquin, pedimos o menu executivo harmonizado. Maravilhoso, pratos com tempero suave e marcante. Sobremesa deliciosa. Atendimento muito bom. Lugar muito bonito.",0,4.0,5.0,5.0,5.0,False,2025-04-07,10,194,7,True,monday,april,2025,-200.33794,-238.3869
cidsaopaulo,"São Paulo, SP",984,5,Boa pedida,Casal,"Fui de executivo e saí muito satisfeito. Porções satisfatórias, comida muito boa. Só o garçom destoou, pouco simpático,  não deu um sorriso sequer o almoço inteiro, mas fora isso atendeu bem.",1,,,,,False,2024-10-27,10,191,27,False,sunday,october,2024,551.6491,-305.77634
glau29,"Campinas, SP",71,3,Comida saborosa mas atendimento demorado,Casal,"Comida saborosa mas o atendimento é bem demorado.
									Pedimos o menu executivo no horário de almoço do sábado.
									A entrada demorou mais de 30 minutos pra chegar. Degustei a beringela. Estava uma delícia!
									Depois da entrada, os pratos levaram mais uns 20 minutos. Muito gostosos também.
									Mas o que incomodou foi a demora.
									No demais, os pratos são bem saborosos e o valor não é tão elevado para um restaurante desse tipo.",0,,,,,False,2024-08-16,40,456,16,True,friday,august,2024,-335.4186,36.392365
